List;ItemType;Context;Idiomaticity;Correctness;Context sentence;Target sentence;CritWord;EndQuestion;CorrectAnswer;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;De jongen kijkt de internationale kampioenswedstrijd op zijn kamer.;De uitgejoelde scheidsrechter komt voor zichzelf op en blijft op zijn kijkers staan.;kijkers;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;De assistente plant Stefanie meteen in bij de orthodontist.;Het meisje met de scheve tanden moet van de tandarts een beugel dragen.;beugel;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;De klusjesman bestelde nieuwe spanten voor de verbouwde woonzolder.;In de houtzagerij werd uit een recht stuk hout een stevige plank gezaagd.;plank;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Na een lange dag kocht Isa een welverdiend patatje.;Het schaatste heerlijk in Thialf op het ijs van de nieuwe baan vanmiddag.;baan;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Vorige week vrijdag heeft Jelmer het welkomstdiner volledig verprutst.;Doordat hij slecht tegen drank kon liep het hele feestje in de soep helaas.;soep;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Veel ouders woonden het evenement in het zwembad bij.;Om een toptijd neer te zetten moest de zwemmer alles uit de kast halen.;kast;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Roy drinkt vaak een Belgisch biertje in de kroeg.;Tegenover het zoenende stelletje voelde hij zichhet vijfde wiel aan de wagen gisteren.;wagen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Al sinds zijn puberteit zocht Gijs een sportieve hobby.;Na veel afvallen kon Gijs de gesp een gaatje verder in zijn tent doen.;tent;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Lange tijd kon Inge haar droompartner maar niet veroveren.;Na jaren daten via websites sloeg de vrouw eindelijk een man aan de haak gisteren.;haak;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Bij de bankoverval nam de receptioniste een onjuiste beslissing.;De vrouw die dacht dat de kust veilig was had het bij het verkeerde glas helaas.;glas;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;In de docentenkamer vertellen docenten roddels over een collega.;Toen de verhouding van de lerares met de leerling bekend werd keek iedereen haar met de cel aan.;cel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Op de veranda dronk Maartje een glas koude limonade.;Ze keek naar de wolken boven zich.;wolken;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In een tijdschrift las ik een artikel over paardenvlees.;Dat rare verhaal is een broodje aap volgens mij.;aap;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Ondanks zijn waterdichte schoeisel kreeg Steven toch natte sokken.;Er zat een gat in zijn laars ontdekte hij.;laars;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Door de verborgen greppel kreeg de boer een kletspoot.;Tussen de weilanden lag een ondiepe sloot vol rommel.;sloot;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Maria koopt die ambachtelijke krentebollen altijd in de buurtwinkel.;Het brood wordt gebakken door de schoft volgens haar.;schoft;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Volgens de evolutietheorie lijkt de chimpansee sterk op ons.;De mens stamt af van de wal volgens Darwin.;wal;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;In de hongerwinter leed Nederland onder een schrijnend voedseltekort.;Tijdens die periode moest men op een houtje bijten helaas.;houtje;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;In de vergaderzaal bespreekt de protestgroep haar nieuwe plannen.;De demonstranten zetten een grote actie op lijk volgende week.;lijk;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In het museum bekijken de buitenlandse toeristen meerdere schilderijen.;Rembrandt schilderde niet zomaar uit de losse pols wat portretten.;pols;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Sarah heeft haar tandartsrekening op de uiterste datum betaald.;Alles is geregeld en komt voor de bakker volgens haar.;bakker;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Het jongetje verhuisde met zijn ouders naar de binnenstad.;Bijna elke week werkte hij zichzelf in de nesten op school.;nesten;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Na de zomer begint Peter aan zijn opleiding Elektrotechniek.;De scholier haalde met de hakken over de lunch zijn tentamens.;lunch;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;In 2002 ging Nederland over op de nieuwe euro-geldstukken.;Het kleinste muntje dat waarde heeft is een cent van koper.;cent;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Al vanaf zijn dertigste verloor Leo's vader zijn haar.;Veel mannen van middelbare leeftijd hebben een kale stad die glimt.;stad;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;De bouwvakkers plaatsten ijzeren palen in het vervallen huis.;Het plafond werd gestut met een stevige houten krul vorige maand.;krul;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;In het informatiecentrum bekijken de sporters een korte instructievideo.;De bergbeklimmers zitten aan elkaar vast met een touw van nylon.;touw;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;In dat verzorgingshuis genieten de zieke ouderen een voorkeurspositie.;Na de dood gaan vrome gelovigen naar de hemel van God.;hemel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Een man kijkt vanaf zijn balkon naar de duiven.;Hij slikt en het voedsel glijdt door zijn maan naar beneden.;maan;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;In de randstad voeren gemeentes veranderingen te snel door.;Rotterdam loopt wat betreft openbaar vervoer te hard van ruiter met investeren.;ruiter;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Met een zwoele blik verleidt de filmster zijn aanbidster.;De blonde acteur kijkt haar aan met zijn blauwe ogen wijd open.;ogen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;De jonge teamleider verwelkomt zijn personeel bij de nieuwjaarsreceptie.;De vrouw van de catering schenkt koffie uit de fee in kopjes.;fee;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Liset vond het antwoord op de quizvraag via internet.;Net als Salland en Twente is de Achterhoek een figuur in Nederland.;figuur;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Naast de winkel telde een dikke man zijn geld.;Voor in zijn mond miste de grijnzende zwerver een foto vanwege drugsgebruik.;foto;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Voor het tijdschrift Privé verzinnen schrijvers vooral sappige kletspraat.;Die journalist van het roddelblad zuigt de verhalen uit zijn duim volgens mij.;duim;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Voor de pinautomaat ontmaskerde de detective de gezochte crimineel.;Na de zoveelste transactie liep de onvoorzichtige fraudeur tegen de lamp vorige week.;lamp;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Naast de sigaren vond de man wat hij zocht.;Meteen nadat de opa tabak had gekocht stopte hij zijn pijp en rookte.;pijp;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Tussen het bladerdak zag de orang oetan een mango.;In het woeste oerwoud klom de aap vliegensvlug in de boom naar boven.;boom;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In de arena ontwijkt de toreador het woeste beest.;Op zijn kop draagt de stier een paar vervaarlijk uitziende gevels als wapens.;gevels;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Zonder al teveel moeite heb ik alle toetsvragen beantwoord.;De dikste en kortste vinger van de hand is de paus volgens mij.;paus;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Na haar scheiding heeft Wendy een frisse start gemaakt.;In haar nieuwe huis hing ze een schilderij aan de vent afgelopen donderdag.;vent;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Voor vragen verwijzen de instanties Marius steeds weer door.;Bij de gemeente stuurden ze hem vanhet kastje naar de muur afgelopen donderdag.;muur;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In het voorjaar kopen de eerste klanten nieuwe aardappelen.;De goede oogst haalt bij de boeren wat druk van de ketel dit jaar.;ketel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Tijdens het kringgesprek deelde Maaike kleine stukjes papier uit.;Het idee viel bij de rest van de groep in goede reden deze keer.;reden;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Het jankende kind maakte schokkende bewegingen met zijn schouders.;Aan het eind van de huilbui hoorde je nog een laatste snik van verdriet.;snik;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Michiel heeft zijn praktijkexamen behaald op het Noorderpoort College.;Zonder veel moeite draaide de kundige electricien het peertje in de flat vorige week.;flat;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;In het algemeen zijn die broertjes de dikste vrienden.;Overdag ruziën ze maar in de avond is alles weer koek en pak tussen hen.;pak;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Else was enorm uitgelaten over haar resultaten vorig jaar.;Toen ze slaagde voor haar examen sprong ze een gat in de geest van blijdschap.;geest;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Op de radio hoort Mirte het verhaal van twee artsen.;Wanneer mensen doodgaan zien ze vaak een tunnel met licht aan het eind zegt men.;eind;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Het VVV-kantoor verstrekt praktische informatie over ons mooie land.;De zon komt op in het oosten en gaat onder in het bewijs in Nederland.;bewijs;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Door de reddingsactie is Lisa Bart veel dank verschuldigd.;Omdat hij mijn leven heeft gered staat zij bij hem diep in het decor voor altijd.;decor;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Vanaf de tribune bekeek Pim aandachtig de verklede circusartiesten.;De clown haalde hem uit het publiek en zette hem flink op zijn nummer vorige week.;nummer;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In de slagerij wijst Anna naar een winkelende voorbijganger.;Die vrouw in klederdracht uit Staphorst is echt nog iemand van de oude spreker lijkt mij.;spreker;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Na haar werk bezocht Linda haar ernstig zieke vader.;Op weg naar het ziekenhuis nam ze veel fruit mee in een rieten beer met hengsels.;beer;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Tijdens interviews doen ministers alsof de crisis niet bestaat.;In plaats van de recessie te bestrijden steekt het kabinet de kop in het zand deze week.;zand;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Kleine Sofie keek aandachtig naar de tekenfilm op televisie.;De giraffe had weinig moeite om bij de groene blaadjes te komen met zijn lange nek en snuit.;nek;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;In de tentoonstelling presenteren historici foto's van vroegere tijden.;Tot in de jaren vijftig schreven kinderen op school nog met een griffel op een lei hun opstellen.;lei;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Op het strand deed de storm het zand opstuiven.;Aan de kust waaide de tong sterker dan elders.;tong;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In het broedseizoen protesteren milieu-activisten tegen de brute landbouwpraktijken.;De meeste boeren verwijderen de kegels uit hun weiland.;kegels;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Met het koude weer trok vader dikke kleren aan.;Hij deed nog een extra rondje in de kachel.;rondje;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Geert Wilders maakt in zijn uitspraken geen individueel onderscheid.;Hij scheert alle buitenlanders over één rek volgens veel mensen.;rek;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Gisteren verraste Lisanne het publiek met een verbluffend muziekstuk.;Ze speelde de sterren van de basis op het concert.;basis;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Op zijn verjaardag denkt Steven terug aan zijn kindertijd.;Hij lapt alle regels aan zijn bed tijdens de les.;bed;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Voor de zoveelste keer is Elise haar sleutels kwijt.;Ze vindt ze uiteindelijk in de bril boven het aanrecht.;bril;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Bij het optreden zingt de zoon een bekend liedje.;Zijn familie ligt hem na aan het doel als enig kind.;doel;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In de Stille Oceaan vallen roofvissen soms mensen aan.;Diep in de zee zwemmen gevaarlijke meterslange tulpen met rijen tanden.;tulpen;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Olifanten dragen hun jong twintig maanden in de baarmoeder.;Zwangere vrouwen dragen een kind in hun golf voor negen maanden.;golf;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Tijdens de Eerste Wereldoorlog organiseerden de Fransen grote gevechten.;Bij Waterloo verloor Napoleon een zeer bekende bron in de geschiedenis.;bron;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Binnen een kwartier hadden alle dorpelingen het nieuws gehoord.;De brandweer bluste met schuim het oplaaiende spoor in de schuur.;spoor;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Tegen de verwachtingen in houdt Elise erg van treiteren.;Ze jaagt haar jonge broertje gemakkelijk op de kast volgens haar vader.;kast;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Tot vandaag kon Matthijs aan spelletjes niet echt meedoen.;Tikkertje speelde het jongetje alleen voor spek en veren vanwege zijn blessure.;veren;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Na zijn presentatie nam Maarten neerslachtig alle kritiek aan.;Door zijn depressie zat hij diep in de rit de afgelopen maanden.;rit;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Saskia kijkt een Duits televisieprogramma bij haar vriend thuis.;En weer maakt de moordenaar een slachtoffer van kant in een steegje.;kant;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In de documentaire geven deskundigen informatie over de melkindustrie.;Elke methode heeft weer zijn eigen haken en heren volgens de professor.;heren;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;Op een bankje leest een oude vrouw de krant.;In een interview klapt de getuige uit de zuster over de verdachte.;zuster;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In april gaven Klaas en Jos hun studiekeuze op.;Klaas werd geselecteerd, maar Jos viel buiten de huid en bleef thuis.;huid;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;In de speciaalzaak pakte de kaasboer een homp Gouda.;Hij verkocht het aan de klant in een blok met plastic eromheen.;blok;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;De zeemannen voelden de aantrekkende wind in het doek.;Toen het ging waaien hees de matroos het wijf zo snel mogelijk.;wijf;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;De kleindochter bewondert het portret van opa van dichtbij.;Hij krijgt zijn haar zo netjes met een kam van simpel plastic.;kam;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Vanuit de woonkamer observeerde de moeder haar zoon Herman.;De jongen deed zijn boterhammen in het plastic zakje uit de la.;zakje;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Na het avondeten leest het gezin altijd een bijbelverhaal.;Maria baarde een zoon en wikkelde hem in helmen in de kribbe.;helmen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;In de TV-show demonstreerde de vakman zijn verfijnde technieken.;De kok hield de pan vast bij de draak tijdens het bakken.;draak;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Na lang zoeken bereikten de vriendinnen de nieuwe meubelzaak.;Om het gebouw heen maakte de weg een zenuw richting de parkeerplaats.;zenuw;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;Na de begrafenis spraken de mensen Frank bemoedigend toe.;Zijn familie stak de weduwnaar een hart onder de riem met vele bezoekjes.;riem;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;De politici prezen hun gezamenlijke bijdrage aan de verkiezingscampagne.;De voorzitter deed ook een flinke duit in het musje bij het debat.;musje;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;Binnen de groep bekende de generaal zijn vermeende affaire.;Het gerucht hing men liever niet aan de grote maat in het leger.;maat;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;incorrect;In de Tweede Kamer maken de regeringspartijen hevig ruzie.;De politici vliegen elkaar over de kwestie in de kippen zo te zien.;kippen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Voor Valentijnsdag nam Erik zijn vrouw mee uit eten.;Die avond hield de babysitter een oogje in het zeil bij de kinderen.;zeil;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In de krant staat het overlijdensbericht van een man.;De miljonair gooide altijd enorm veel geld over de balk in weinig tijd.;balk;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Op de markt verkoopt de groenteman verschillende soorten fruit.;Appels, peren en peultjes vallen allemaal in de categorie vruchten in de natuur.;vruchten;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Na de regenbui wiedde de hovenier de zompige grond.;De tuinman harkte met een schoffel in de natte aarde tussen de struiken.;aarde;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;De docent zette zijn tas voor zijn kantoortje neer.;Om de kamer binnen te komen opende hij de deur met de klink.;deur;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In haar hutje heeft de tovenares veel pannen hangen.;De heks brouwt een giftig mengsel in een grote doorn op het vuur.;doorn;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Tijdens het optreden hoorde het publiek het koor nauwelijks.;Doordat de microfoon slecht was overstemden de instrumenten de pech op het concert.;pech;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Vlak voor de film ging Sander naar het toilet.;Zijn darmen speelden op na het eten van bruine bonen bij het diner.;bonen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;De koerier leverde zijn lading af bij het moederbedrijf.;De fabrikant monteerde een paar nieuwe zolen onder de schoenen die waren teruggebracht.;schoenen;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;In vroegere tijden bestond ons landschap voornamelijk uit heidevelden.;Om aan water te komen groef men een diepe put in de grond.;put;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Op de oprit tilde Maaike de zware boodschappentas op.;Boven haar vloog een enorme zwerm spreeuwen in de lucht naar het zuiden.;lucht;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Op achterbank wijst het jongetje naar een passerende auto.;Voor een mooie Porsche betaalt de liefhebber een hoge tekst in de winkel.;tekts;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;Bij de receptie zwaaide de campinggast naar de eigenaar.;De Fransman nipte rustig van een lekker glas rode zoon in zijn tuin.;zoon;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;incorrect;In het bejaardenhuis bespiedde de bewoner een werkende man.;De kok maakte bouillon en vermicelli voor in de neef van de dag.;neef;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Idiomatic;correct;In zijn dissertatie beschreef de promovendus weinig doordachte argumentaties.;De conclusie van het proefschrift was te kort door de bocht volgens de commissie.;bocht;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;In de klas legde Jasper de evolutietheorie nogmaals uit.;Met dat antwoord sloeg de leerling de spijker op zijn kop volgens de meester.;kop;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;correct;Bij de therapeut sprak Chris zijn verschillende gedachtes uit.;Met het opbiechten van al zijn daden maakte hij schoon schip met zijn verleden.;schip;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Idiomatic;incorrect;In de hal hoort de man zijn pratende buren.;Die schandalige verhoging van de huur kan niet door de hippie volgens de bewoners.;hippie;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;correct;Bij de marine leerde Reinier verschillende steken en strikken.;Hij gingvan boord en legde in de touwen een knoop uit de zeevaart.;knoop;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;In zijn kleine studentenwoning beschikte Ben over veel opbergruimte.;Hij stopte zijn opgevouwen kleren in een la van de thee op zijn kamer.;thee;;;;;;;;;;;;;;;;;;;;
1;experimental;Predictive;Literal;incorrect;Aan de overzijde wacht een vrouw haar poedel op.;De hond zwemt moeiteloos van de ene naar de andere stem van het meer.;stem;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Op de vlooienmarkt spreidde Tommy zijn blauwe verkoopkleed uit.;Hij legde de boeken netjes op elkaar op een hoge stapel van meters hoog.;stapel;;;;;;;;;;;;;;;;;;;;
1;experimental;Neutral;Literal;correct;Gedurende tien minuten staarde het meisje naar de woorden.;De meester schreef op het bord met een wit stuk krijt uit een pakje.;krijt;;;;;;;;;;;;;;;;;;;;
